case,run,grid,threads,seed,returncode,wall_seconds,peak_rss_gb,cpu_percent,user_seconds,system_seconds,save_grf,checkpoint_level,grf_sha256,checkpoints_sha256,obs_grids_sha256,pk_arrays_sha256,grf_bytes,checkpoints_bytes
cpu-128-baseline-v2,1,128,128,1184787996,0,5.75,0.6,10066.0,559.13,18.48,True,1,33bd5a743c07bbe4d250036251e820b295de070258cf06748841736f7c3c17b7,c2f5bd65d87bf3bdb6e4547fc21b4180b378fa522125eaa7284973da414e26bf,3717fa3ed3d1ae529fa9b481de81d3170b2650d0dd221781ba4a7164fe30de7b,f814de4575a3d40646a7cee17619d0b87722f0236571a0e7241126724b5a9486,16783816,219171288
cpu-128-baseline-v2,2,128,128,1832019377,0,4.66,0.6,10405.0,467.83,16.75,True,1,fa194713cb9bc1544a4e0e50ca049fe4c95b439c6ac723d37df0c19a321927d1,eccb89a74d12c52918e8fd36be6f5ef88803d28992e6c7bcb6c854a2d282d68a,72f9fb3118fc766b3c2b9aef5c3cbad2e002c6c503eb3b1e743dd35c974d3ea6,6a37ac7cc61ca12f059962291b3077e1c6af5cb0045a726273011dca5de3dcc9,16783816,219171288
cpu-128-baseline-v2,3,128,128,325579044,0,9.24,0.59,11394.0,1030.83,21.75,True,1,e81277864fd4a50c41251eb777655d0db137d046243a30eaf6121dcdb0aab11b,865ef1c05f53fee40890346fa472d68e9419f8c9bff9be16321ce6a57c60d10e,c3c9cd41803bedcfd2a38addc43c0b04167c03adf9572f5966f3b2da856901a2,e7b5fdbdef89db30a02ad7a346b618853eb2902f6f1876dc97f5e1411770baca,16783816,219171288
cpu-128-baseline-v2,4,128,128,1729110000,0,5.93,0.6,11912.0,687.35,17.75,True,1,a67fb319d3967a678fa2b72501af4b04f1212ced8c02b7d795d566b8c1a49100,33a8ab8fd26d3990ddd64a87b365ab018a3e888c49d2e3b20481b33bf9d63ff4,b5bc89486ef23c29743d289568747d4fd135cce89df4f5085080ed3a823f6223,415dc1584e4ddfb74d896d2a9a2fe0c186451ebb560223b525882007fe1a4ccc,16783816,219171288
cpu-128-baseline-v2,5,128,128,524385856,0,3.77,0.6,11612.0,421.6,15.7,True,1,d4a5d8d51f6bf82f6feef2f186b3b26f2ae4c9bd20adca2b5d1fc9719e6707d4,c8d6397e29d9b60d424a8c7cf4ed2e843b8534e340a0bc7df3ea19c96664add5,2b84345bf09e9897546d5b6201d5e347e93b9f86afcf9379b0a2d5b65374dc16,6811d4d5b2319e356471921ac2111819128793fd7218540ab97ed921018d65a5,16783816,219171288
cpu-128-baseline-v2,6,128,128,1131908720,0,4.02,0.6,11850.0,460.64,14.91,True,1,16eba3826166a07ed7d89b495ee1a54aeb4b714369eb79aef8f76564c91f27d8,319c2211a7c3831d4111bfc701ab2d262178f5940373c85e356d70d2cb69bb23,b964dcb52f558ed24aa3c9d8a9f6af9ca829d44cb1b7e81f903e7bfd13afc229,75a932252a5fb4e04b3fd97479ee56135051cb4145f988e596b477bc8c11f149,16783816,219171288
cpu-128-baseline-v2,7,128,128,1486439826,0,3.93,0.6,11773.0,446.8,15.52,True,1,7c13f5a0c911bd3a5a030ed17118070f8ab85d5b2fc72b2da943a85c7fccd5ae,72028a1547357e7b496a07687ba6bbc65d1da1d8d69904625ab543ccdfc29df5,29ea60de636ad4e5c5703608a1dae4c99b20f7deb0097fd8a279e96bf77c48fc,1f0303e8733d1842497c4f840921ddba4aeba37c5b95f3758c056f234ab3c4e1,16783816,219171288
cpu-128-baseline-v2,8,128,128,1087507196,0,5.12,0.6,11804.0,585.91,18.14,True,1,1dbf0826c4509e861077621b2b20cd61ce30811aff95e9dd3f5e0592a6e3add3,4743b938afc62fba03014db0fd8e4f54b113e43d4fc7ba1ea4aa2af626085273,77ce17d06d99e7cb868300aac0f8270e930efc4eb58425274d2b33647739dd08,814448732d2b31c0571be2077423fb2e1b95095c93537c90774c8441fb9a54c0,16783816,219171288
cpu-128-baseline-v2,9,128,128,1487009665,0,7.04,0.62,12308.0,846.48,19.31,True,1,cb243696ceb6e682fa8d4b1fc93ce8854248930c1ea2888dadc4eaf6377f3a86,9d0790e8ed3c89c7bcccd6dd4de04dc6f0a080eec860a023f56ee3a98b9e5956,f0190540b2f1bab6c2bbcc673ed1b1e070bcf834a7f7cd9eea3d459760e05af6,589f374f91df59679b3e88b0de72b6d333c0de9ca0eecb74d6445692014bf087,16783816,219171288
cpu-128-baseline-v2,10,128,128,272631278,0,7.96,0.61,12154.0,946.81,19.85,True,1,c2f46406fbaab426318c398cbdce6b754ed6589e211da6bff85c738cd995abf5,f6560cf4fdc3c3b90d8367b9312f5fc322c65172e78034179f1090978df07006,f7fb41e19c412d1e568c07692ae22cb09fb3c0f2e466d1fb92076ca048bcbb0b,246a374876eb324d33865957487c9839143282434a7a4cddceddd42376373763,16783816,219171288
