case,run,grid,threads,seed,returncode,wall_seconds,peak_rss_gb,cpu_percent,user_seconds,system_seconds,save_grf,checkpoint_level,grf_sha256,checkpoints_sha256,obs_grids_sha256,pk_arrays_sha256,grf_bytes,checkpoints_bytes
cpu-1024-baseline-v2,1,1024,128,1455349262,0,528.57,188.4,7290.0,37597.53,934.98,True,1,96ef096a570d8cf031f4a3f40da1dcefd352eab27d8d426de6476c0647644df5,043015ed9093ab715ee795ab146d0bf873cf360651e49decdafa791fc7dd2aad,243b8638faa1b3753d1cd05ccd09ee37977e449ff73de1899c73364c2ed1f8da,60dc4aa6646607c6cd07c48ee03e6e4af074ab79b555ea771e85c079458caa22,8589941192,111736277464
cpu-1024-baseline-v2,2,1024,128,1207050066,0,386.97,188.39,10922.0,39452.65,2804.35,True,0,2a652343c863e26fd40260bbc97e0a25dd0255fc67c1ca1f9f4bb7a05705c917,,2c726ad8625e259ae50388072187c855dae7e7b5f84c593e534df1f6b9174104,f62f869e20c450197f19bffb6e365328ef641f3490400004066a181533deb865,8589941192,
cpu-1024-baseline-v2,3,1024,128,978186921,0,353.54,188.39,11978.0,41719.76,627.4,True,0,bab2783a2d1cfde50bbf36b729372d93b28ff29aac1932ca176d4a81e0c929f1,,69bf681afb87f043b6574b8cf72d4f2e6746821b7f713c9e48a77acf32ca57fc,e33228c2b0cffa67a9dee531d0c7b280b7c7e2debae0f4211a8503778ffe15b6,8589941192,
cpu-1024-baseline-v2,4,1024,128,1188594325,0,342.98,188.4,12359.0,41703.35,683.19,False,0,,,29d746481717614e4b58e3043668aa3afb7770c05d38ed60cde74394bd2a89d6,4fdafd75acc80f654a6b1eb701cccece862457cc21994cba2a5f3e8666dd6332,,
cpu-1024-baseline-v2,5,1024,128,1345545299,0,298.03,188.4,12572.0,37091.1,378.74,False,0,,,934a5be8fc0c5b605f394740573370640f9460fdb9a4dbf6ed1fedca19d60342,20355967ca032d97d64c3385cdee00b889d9540b6252ca17452331a2d15ae413,,
cpu-1024-baseline-v2,6,1024,128,961670394,0,307.11,188.4,12532.0,38083.82,403.44,False,0,,,54dc85cf5f9ff0cbf61096d53d9b77ad486fa02458fa692793cf68a37746a67b,1a936edef07abfa64c93a3d0b27ec5d1557f1c173b832f76a1aca4bbf08c7720,,
cpu-1024-baseline-v2,7,1024,128,1864362003,0,318.41,188.38,12515.0,39389.85,460.02,False,0,,,f3673951d1be1fb9aaa0985125cc66fd20dd6fd8805cf26f185584e8cdd2bab0,c7b0d838b38d54b4d8eb7a3e9abbe0d88643faf45b0a8f2c558bf34f5bead906,,
cpu-1024-baseline-v2,8,1024,128,315330354,0,333.88,188.39,12465.0,41095.92,522.97,False,0,,,d186cf4f14088de24593e038c5ffd30496678bcbf35cb41b62f89fb0735675a3,0ef748b35dd41326a4620f8a09a90f8cc637b31b40a47779d15993352a9ec450,,
cpu-1024-baseline-v2,9,1024,128,1218704351,0,336.8,188.39,12413.0,41279.23,529.23,False,0,,,8dd2b397718bb146722f1307bc2695267ff86924dd641f730b7647506134667e,cdc16f838ea8c665553566ded26164465e0262772cc783796fcb6ff833c0c9da,,
cpu-1024-baseline-v2,10,1024,128,899829731,0,312.83,188.39,12559.0,38860.32,430.46,False,0,,,18fb48447c9ae0c36def98ccb0dad05ab0299ee7bb529ab1f3f3d4e184b19c38,43072742b9e848633e24640adeb408b924b14182191867f596ee5ed40085c721,,
