case,run,grid,threads,seed,returncode,wall_seconds,peak_rss_gb,cpu_percent,user_seconds,system_seconds,save_grf,checkpoint_level,grf_sha256,checkpoints_sha256,obs_grids_sha256,pk_arrays_sha256,grf_bytes,checkpoints_bytes
cpu-512-scaling-008t-v2,1,512,8,20250915,0,241.25,23.52,794.0,1902.41,8.5,False,0,,,bc0c7f110a042dce4d107f904c36579a5b810c737f0594cdbff48d1848856aa1,ff99c1c678723e6d9180f59de9e40f273a74dde136f0e1cab002ff95d6ed5b91,,
cpu-512-scaling-008t-v2,2,512,8,20250915,0,241.02,23.53,793.0,1904.11,8.51,False,0,,,afd3d7f4b076bde69ce435a1c55f11c0402105447e51d59071d0934b78aab685,2fa58aa752476dd02c8e57f264f2cd3f850a105a8c090f75696b233e2f0f434e,,
