case,run,grid,threads,seed,returncode,wall_seconds,peak_rss_gb,cpu_percent,user_seconds,system_seconds,save_grf,checkpoint_level,grf_sha256,checkpoints_sha256,obs_grids_sha256,pk_arrays_sha256,grf_bytes,checkpoints_bytes
cpu-256-baseline-v2,1,256,128,363918263,0,17.04,3.26,7980.0,1328.17,31.03,True,1,db4270f6b4e7781f235c1dee9f0522ddca333a55553b8de46f1056ad309acd68,524e9ff879a3011286bb29cfa4ebfe60eda73e55d0d08dc1150fad63684d3b7a,e7997087cc549e4612b3e3c4fb78c5528b55e5859a3e95d24d1a9256a1df3c96,e0389d76e03f7a38487f37b98112a8c30d98d15f4944f368737882a50c4996d1,134224328,1749043672
cpu-256-baseline-v2,2,256,128,727663907,0,10.01,3.25,10658.0,1040.52,26.26,True,1,68f596cf13aad12b7efea22b984e28ea74b51d7e7932a523926dd07f1a4f5743,031d571c4055a551d80ddf052e278d3c95bbcb77f7634b98a0d8f697992dee0a,e9a75ff65a6674c2a9688f44ef17e7e24c0a3fff5037c4b809fc25376c9e55d4,e9f874efa4d2e9dfa4b62008852f0e9b29b6f3de525a3bcb03ba7d692798a6dd,134224328,1749043672
cpu-256-baseline-v2,3,256,128,736905890,0,11.62,3.23,10789.0,1224.28,29.01,True,1,8477c384233c09642e205d01ad3f372b8cbd03608f057ce54c4770ccba91fd05,7d61a9343de3521eb7d94a6eaf8ede7f1c43283a2a3d828ad0db40772e4b6a43,7e1f4b126f276721745c0577c544dee2f3ec28b2ef06c2a89b81001a7dd82346,61d7e9a5192022ae54e0dc7a01fb0efbc4d940bc17fc67c80bd2f94ee6d771b2,134224328,1749043672
cpu-256-baseline-v2,4,256,128,160611057,0,8.92,3.23,12356.0,1079.16,22.75,True,0,f9720c32d22953ff1096cfb7aa598e4c08b0d5b746aa5f684ccb871964da4972,,05607ae370b21d63ad1ff8d233decdf06d785b6de72b12e6aabf6d889e352aed,35079d82d81fa15064b1de4f37d8f25df7dd25b24f50438323fd272b28789ed0,134224328,
cpu-256-baseline-v2,5,256,128,1544959546,0,9.21,3.23,12015.0,1080.02,24.31,True,0,1019071755716a923cac5c64f73a5af049f17c9c5e0ed976c1e1979af328186e,,61834716cb31c32c7afd1c2a4a3315f3f562377d0199fa82a1903a70f596cf87,5dd3e3e5eefaaf1ae281e8e1345e2557f0ad82cdd9d9fedf7668b23c567d7b7f,134224328,
cpu-256-baseline-v2,6,256,128,851057870,0,9.51,3.23,12276.0,1146.04,21.24,True,0,feb9877525b8a842f4b5a407dbdd175f77de266a4f4639c59f9c0ed947bdd3ba,,8838a1e816017edca0dfb57322d894275112e111596463147246448e600fbc74,94bfb9d15175349dda9491800a491492116670d04952f6fb796a64ea44e676a7,134224328,
cpu-256-baseline-v2,7,256,128,665571587,0,9.33,3.23,12298.0,1126.22,20.32,True,0,d95f26f34e1ed368e3e48341bcc1edfc0a4138176458aeb358544f9e596ad5af,,dbdcdb84829ddd10c96e9415e3d04cb8efeac4acba27eceb330e138e8d30b82b,de3f4c39691d2be408912dd93b320c392a02687388ddf58e84d7f4db5562178f,134224328,
cpu-256-baseline-v2,8,256,128,1946052848,0,9.66,3.22,12322.0,1165.31,21.94,True,0,26b8e629ace00a05696741827e06b5067951267c68d1f977887ddcf9ad018e3f,,20db89d165f548afd394d9e7d9cbf1b3852edd72901ca2506261924491d6d907,b8b7e9ebfb535115ce14e471e1320d9b2fd0a03edcadad3bb3d59ed0d6e63906,134224328,
cpu-256-baseline-v2,9,256,128,629193974,0,9.41,3.22,12230.0,1129.44,21.3,True,0,6dfa66a40c24d088e7d3951f7f0b1e8a177dc53a993a438ee8580dea5c4cbcde,,5e800c2d3ca392407dc6956e90fbc675d2ad0d91e73ed3dcc02e092acdcf5b90,0411d7f249e0e1a8c662c47e52f67f4b2598eba4f5a38cf69fa339d68a7d1981,134224328,
cpu-256-baseline-v2,10,256,128,194992136,0,10.59,3.24,12283.0,1272.73,25.73,True,0,7113c77c684986d9434950690538c83264770c2b1c215eb8a3b46aa94871e436,,c1280049ba899c550a3b1c30d9bcbc68fbb5c1a6a9ccc1b6c703d15ce4eb4fb7,ea79f95d820b376faa547debfa8992c44dc27ebe35b68d85716607e39f9fa04f,134224328,
